Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 12:40:35 2019,normal,2.18,198.94,90.98,,normal,2.28,196.44,86.1
Thu Nov 21 12:40:36 2019,normal,2.18,199.2,90.96,,normal,2.27,196.17,86.08
Thu Nov 21 12:40:37 2019,normal,2.18,198.66,90.62,,normal,2.28,196.44,86.12
Thu Nov 21 12:40:38 2019,normal,2.18,199.2,90.97,,normal,2.27,196.17,86.12
Thu Nov 21 12:40:39 2019,normal,2.16,199.48,91.65,,normal,2.28,196.44,86.13
Thu Nov 21 12:40:40 2019,normal,2.16,199.62,91.64,,normal,2.28,196.58,86.11
Thu Nov 21 12:40:41 2019,normal,2.16,199.2,91.64,,normal,2.27,196.3,86.1
Thu Nov 21 12:40:42 2019,normal,2.16,199.36,91.64,,normal,2.28,196.44,86.09
Thu Nov 21 12:40:43 2019,normal,2.16,199.48,91.64,,normal,2.28,196.44,86.11
Thu Nov 21 12:40:44 2019,normal,2.16,199.24,91.65,,normal,2.28,196.44,86.12
Thu Nov 21 12:40:45 2019,normal,2.16,198.82,91.62,,normal,2.28,196.58,86.11
Thu Nov 21 12:40:46 2019,normal,2.16,198.94,91.63,,normal,2.28,196.58,86.14
Thu Nov 21 12:40:47 2019,normal,2.16,198.4,91.64,,normal,2.27,196.3,86.12
Thu Nov 21 12:40:48 2019,normal,2.16,198.14,91.6,,normal,2.28,196.3,86.1
Thu Nov 21 12:40:49 2019,normal,2.16,197.86,91.27,,normal,2.28,196.3,86.09
Thu Nov 21 12:40:50 2019,normal,2.1,196.8,93.33,,normal,2.27,196.17,86.09
Thu Nov 21 12:40:51 2019,normal,2.16,197.86,91.26,,normal,2.27,196.17,86.11
Thu Nov 21 12:40:52 2019,normal,2.16,197.6,91.25,,normal,2.27,196.31,86.11
Thu Nov 21 12:40:53 2019,normal,2.16,197.34,91.26,,normal,2.27,196.3,86.13
Thu Nov 21 12:40:54 2019,normal,2.04,191.04,93.22,,normal,2.28,196.44,86.09
Thu Nov 21 12:40:55 2019,normal,2.12,197.34,92.64,,normal,2.28,196.44,86.11
Thu Nov 21 12:40:56 2019,normal,2.12,197.34,92.62,,normal,2.27,196.31,86.11
Thu Nov 21 12:40:57 2019,normal,2.12,197.34,92.6,,normal,2.28,196.45,86.13
Thu Nov 21 12:40:58 2019,normal,2.06,194.66,93.96,,normal,2.27,196.17,86.07
Thu Nov 21 12:40:59 2019,normal,2.12,196.8,92.62,,normal,2.27,196.31,86.13
Thu Nov 21 12:41:00 2019,normal,2.12,197.06,92.61,,normal,2.28,196.3,86.1
Thu Nov 21 12:41:02 2019,normal,2.12,197.34,92.64,,normal,2.27,196.17,86.36
Thu Nov 21 12:41:03 2019,normal,2.12,196.64,92.6,,normal,2.26,196.17,86.68
Thu Nov 21 12:41:04 2019,normal,2.1,196.26,92.6,,normal,2.26,196.31,86.7
Thu Nov 21 12:41:05 2019,normal,2.1,196.12,92.61,,normal,2.32,196.17,84.43
Thu Nov 21 12:41:06 2019,normal,2.1,196,92.58,,normal,2.32,196.03,84.38
Thu Nov 21 12:41:07 2019,normal,2.1,196,92.6,,normal,2.3,196.03,84.97
Thu Nov 21 12:41:08 2019,normal,2.1,195.84,92.6,,normal,2.29,196.03,85.56
Thu Nov 21 12:41:09 2019,normal,2.12,195.2,91.87,,normal,2.29,196.3,85.5
Thu Nov 21 12:41:10 2019,normal,2.1,195.46,92.59,,normal,2.29,196.17,85.51
Thu Nov 21 12:41:11 2019,normal,2.1,195.32,92.58,,normal,2.29,196.45,85.48
Thu Nov 21 12:41:12 2019,normal,2.1,195.58,92.59,,normal,2.29,196.17,85.51
Thu Nov 21 12:41:13 2019,normal,2.1,194.78,92.57,,normal,2.29,196.17,85.54
Thu Nov 21 12:41:14 2019,normal,2.1,195.46,92.59,,normal,2.29,196.17,85.58
Thu Nov 21 12:41:15 2019,normal,2.1,195.46,92.59,,normal,2.28,195.76,85.57
Thu Nov 21 12:41:16 2019,normal,2.1,195.84,92.6,,normal,2.28,195.89,85.56
Thu Nov 21 12:41:17 2019,normal,2.1,195.32,92.58,,normal,2.29,196.04,85.54
Thu Nov 21 12:41:18 2019,normal,2.1,195.2,92.57,,normal,2.29,196.31,85.54
Thu Nov 21 12:41:19 2019,normal,2.1,195.46,92.61,,normal,2.29,196.45,85.53
Thu Nov 21 12:41:20 2019,normal,2.1,194.78,92.57,,normal,2.29,196.17,85.58
Thu Nov 21 12:41:21 2019,normal,2.08,193.98,92.55,,normal,2.29,196.17,85.56
Thu Nov 21 12:41:22 2019,normal,2.08,193.58,92.59,,normal,2.29,196.31,85.51
Thu Nov 21 12:41:23 2019,normal,2.08,194.38,92.88,,normal,2.29,196.17,85.52
Thu Nov 21 12:41:24 2019,normal,2.08,193.72,92.88,,normal,2.29,196.32,85.5
Thu Nov 21 12:41:25 2019,normal,2.08,194.66,92.9,,normal,2.29,196.31,85.58
Thu Nov 21 12:41:26 2019,normal,2.06,193.72,93.96,,normal,2.29,196.31,85.55
Thu Nov 21 12:41:27 2019,normal,2.06,194.24,93.63,,normal,2.29,196.03,85.54
Thu Nov 21 12:41:28 2019,normal,2.08,192.9,92.18,,normal,2.29,196.17,85.51
Thu Nov 21 12:41:29 2019,normal,2.08,192.5,92.17,,normal,2.28,195.62,85.54
Thu Nov 21 12:41:30 2019,normal,2.06,193.44,93.59,,normal,2.29,196.17,85.56
Thu Nov 21 12:41:31 2019,normal,2.06,193.18,93.59,,normal,2.29,196.17,85.55
Thu Nov 21 12:41:32 2019,normal,2.06,193.44,93.61,,normal,2.28,195.9,85.55
Thu Nov 21 12:41:33 2019,normal,2.06,193.44,93.6,,normal,2.29,195.9,85.53
Thu Nov 21 12:41:34 2019,normal,2.06,193.44,93.59,,normal,2.29,196.17,85.48
Thu Nov 21 12:41:35 2019,normal,2.06,193.18,93.58,,normal,2.29,195.89,85.54
Thu Nov 21 12:41:36 2019,normal,2.06,193.18,93.6,,normal,2.29,196.58,85.56
Thu Nov 21 12:41:37 2019,normal,2.06,193.18,93.58,,normal,2.29,196.45,85.58
Thu Nov 21 12:41:38 2019,normal,2.06,192.9,93.57,,normal,2.29,196.58,85.55
Thu Nov 21 12:41:39 2019,normal,2.04,192.76,93.58,,normal,2.28,196.59,86.12
Thu Nov 21 12:41:40 2019,normal,2.04,192.38,93.55,,normal,2.27,196.17,86.41
Thu Nov 21 12:41:41 2019,normal,2.06,192.9,93.59,,normal,2.25,195.9,86.98
Thu Nov 21 12:41:42 2019,normal,2.04,192.1,93.56,,normal,2.25,196.31,86.98
Thu Nov 21 12:41:43 2019,normal,2.04,192.24,93.55,,normal,2.25,196.17,86.99
Thu Nov 21 12:41:44 2019,normal,2.04,192.38,93.56,,normal,2.25,195.9,87
Thu Nov 21 12:41:45 2019,normal,2.04,192.38,93.57,,normal,2.26,196.17,86.72
Thu Nov 21 12:41:46 2019,normal,2.06,192.9,93.56,,normal,2.27,196.31,86.4
Thu Nov 21 12:41:47 2019,normal,2.06,192.9,93.59,,normal,2.26,196.17,86.7
Thu Nov 21 12:41:48 2019,normal,2.04,192.64,93.55,,normal,2.24,195.9,87.28
Thu Nov 21 12:41:49 2019,normal,2.04,192.64,93.56,,normal,2.24,195.9,87.25
Thu Nov 21 12:41:50 2019,normal,2.04,191.84,93.54,,normal,2.24,196.04,87.27
Thu Nov 21 12:41:51 2019,normal,2.04,191.96,93.55,,normal,2.24,195.63,87.28
Thu Nov 21 12:41:52 2019,normal,2.04,192.1,93.56,,normal,2.24,195.76,87.31
Thu Nov 21 12:41:53 2019,normal,2.04,191.16,93.16,,normal,2.24,195.49,87.26
Thu Nov 21 12:41:54 2019,normal,2.04,190.1,92.46,,normal,2.24,195.49,87.25
Thu Nov 21 12:41:55 2019,normal,2.04,191.7,93.2,,normal,2.24,195.63,87.25
Thu Nov 21 12:41:56 2019,normal,2.02,190.62,93.5,,normal,2.24,195.76,87.26
Thu Nov 21 12:41:57 2019,normal,2.02,190.5,93.52,,normal,2.24,195.49,87.23
Thu Nov 21 12:41:58 2019,normal,2.02,190.62,93.5,,normal,2.23,195.35,87.25
Thu Nov 21 12:41:59 2019,normal,2.04,191.04,93.53,,normal,2.24,195.63,87.26
Thu Nov 21 12:42:00 2019,normal,2.02,190.78,93.54,,normal,2.24,195.49,87.26
Thu Nov 21 12:42:01 2019,normal,2.02,190.1,93.5,,normal,2.24,195.49,87.24
Thu Nov 21 12:42:02 2019,normal,2.02,190.1,93.85,,normal,2.24,195.76,87.27
Thu Nov 21 12:42:03 2019,normal,2.02,190.1,93.85,,normal,2.23,195.49,87.29
Thu Nov 21 12:42:04 2019,normal,2.02,189.82,93.85,,normal,2.23,195.49,87.28
Thu Nov 21 12:42:05 2019,normal,2,189.44,93.87,,normal,2.24,195.62,87.26
Thu Nov 21 12:42:06 2019,normal,2.02,189.7,93.86,,normal,2.24,195.63,87.29
Thu Nov 21 12:42:07 2019,normal,2.02,189.7,93.84,,normal,2.24,195.76,87.25
Thu Nov 21 12:42:08 2019,normal,2,189.02,93.85,,normal,2.24,195.63,87.25
Thu Nov 21 12:42:09 2019,normal,2,189.3,93.83,,normal,2.24,195.49,87.27
Thu Nov 21 12:42:10 2019,normal,2,189.3,93.84,,normal,2.24,195.63,87.24
Thu Nov 21 12:42:11 2019,normal,2,188.76,93.85,,normal,2.24,195.63,87.25
Thu Nov 21 12:42:12 2019,normal,2,189.02,93.8,,normal,2.23,195.21,87.26
Thu Nov 21 12:42:13 2019,normal,2,189.02,93.84,,normal,2.23,195.21,87.27
Thu Nov 21 12:42:14 2019,normal,2,188.76,93.83,,normal,2.23,195.21,87.28
Thu Nov 21 12:42:15 2019,normal,2,188.76,93.83,,normal,2.23,195.35,87.24
Thu Nov 21 12:42:16 2019,normal,2,187.96,93.79,,normal,2.24,195.49,87.24
Thu Nov 21 12:42:17 2019,normal,2,188.22,93.82,,normal,2.23,195.35,87.23
Thu Nov 21 12:42:18 2019,normal,2,187.96,93.8,,normal,2.22,195.21,87.85
Thu Nov 21 12:42:19 2019,normal,2,187.96,93.81,,normal,2.2,193.02,87.47
Thu Nov 21 12:42:20 2019,normal,1.98,186.62,93.79,,normal,2.25,195.21,86.63
Thu Nov 21 12:42:21 2019,normal,1.98,186.9,93.76,,normal,2.3,195.63,84.96
Thu Nov 21 12:42:22 2019,normal,1.98,186.62,93.78,,normal,2.28,195.63,85.55
Thu Nov 21 12:42:23 2019,normal,1.96,185.42,93.76,,normal,2.28,195.77,85.55
Thu Nov 21 12:42:24 2019,normal,1.98,185.82,93.4,,normal,2.28,195.63,85.52
